country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2000,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2001,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2002,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2003,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2004,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2005,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2006,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2007,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2008,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2009,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2010,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2011,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2012,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2013,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2014,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2015,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2016,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2017,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2018,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2019,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2020,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2021,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2022,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with limited hygiene services,2023,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2000,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2001,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2002,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2003,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2004,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2005,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2006,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2007,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2008,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2009,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2010,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2011,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2012,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2013,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2014,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2015,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2016,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2017,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2018,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2019,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2020,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2021,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2022,0,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with limited hygiene services,2023,0,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2013,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2014,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2015,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2016,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2017,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2018,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2019,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2020,59.23295,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with limited hygiene services,2021,59.23295,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with limited hygiene services,2020,21.85430000000001,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with limited hygiene services,2021,21.85430000000001,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with limited hygiene services,2022,21.85430000000001,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with limited hygiene services,2023,21.85430000000001,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with limited hygiene services,2014,63.91,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with limited hygiene services,2015,63.91,Total,,%,,,,Total
